Accion,Cotizacion
GIGM,1.340000033378601
CENN,1.340000033378601
EJH,1.350000023841858
ALLK,1.350000023841858
CNVS,1.350000023841858
KWE,1.350000023841858
ARBB,1.350000023841858
GOSS,1.350000023841858
DLPN,1.3600000143051147
VRME,1.3600000143051147
GAME,1.3600000143051147
LEXXW,1.3600000143051147
RMCO,1.3600000143051147
CIFRW,1.3700000047683716
TOI,1.3700000047683716
DGHI,1.3700000047683716
BLUE,1.3700000047683716
OCG,1.3700000047683716
TIVC,1.3700000047683716
MNY,1.3700000047683716
LSDI,1.3798999786376953
HOUR,1.3799999952316284
BDSX,1.3799999952316284
BLRX,1.3799999952316284
CDIO,1.3799999952316284
ANY,1.3799999952316284
SCYX,1.3899999856948853
POET,1.3899999856948853
VTNR,1.3899999856948853
LVLU,1.3899999856948853
MNOV,1.3899999856948853
BRTX,1.3899999856948853
KPTI,1.3899999856948853
PASG,1.3899999856948853
LEDS,1.3899999856948853
PGEN,1.3949999809265137
FGF,1.399999976158142
PROK,1.399999976158142
RETO,1.399999976158142
BTCY,1.399999976158142
MLEC,1.399999976158142
MTEK,1.4132000207901
CAN,1.4199999570846558
MCHX,1.4199999570846558
RNXT,1.4199999570846558
PSNL,1.4199999570846558
JVA,1.4199999570846558
RIGL,1.4199999570846558
BREA,1.4199999570846558
PRSO,1.4199999570846558
SWAG,1.4199999570846558
HGAS,1.4299999475479126
DWSN,1.4299999475479126
CLWT,1.4299999475479126
NUZE,1.4299999475479126
MSS,1.4299999475479126
MGIH,1.4299999475479126
ADAP,1.440000057220459
MIGI,1.440000057220459
SCLX,1.440000057220459
TROO,1.440000057220459
DRIO,1.4500000476837158
GDC,1.4500000476837158
JNVR,1.4500000476837158
DATS,1.4500000476837158
LPTH,1.4500000476837158
HYW,1.4500000476837158
SOHO,1.4600000381469727
XFOR,1.4600000381469727
EKSO,1.4700000286102295
SBET,1.4700000286102295
UNCY,1.4700000286102295
MATH,1.4700000286102295
XNET,1.4800000190734863
CRDL,1.4800000190734863
GRYP,1.4800000190734863
AREC,1.4800000190734863
IKNA,1.4800000190734863
VVPR,1.4800000190734863
PWM,1.4800000190734863
IFRX,1.4900000095367432
CYTH,1.4900000095367432
HKIT,1.4900000095367432
FGI,1.5
MFH,1.5
PTPI,1.5
CADL,1.5
HOTH,1.5
AHI,1.5
GVH,1.5099999904632568
TCBP,1.5199999809265137
ARTL,1.5199999809265137
PRPL,1.5199999809265137
COCP,1.5299999713897705
TC,1.5299999713897705
NXPL,1.5299999713897705
OKYO,1.534999966621399
RXT,1.5399999618530273
PTIX,1.5499999523162842
SRM,1.5499999523162842
APCX,1.5499999523162842
APTO,1.5499999523162842
NGM,1.5499999523162842
SLDP,1.559999942779541
IPA,1.5700000524520874
UBX,1.5700000524520874
BIMI,1.5800000429153442
LGO,1.5800000429153442
FLGC,1.5800000429153442
XAIR,1.5800000429153442
